import time: self [us] | cumulative | imported package
import time:      1548 |       3849 |                         urllib3.contrib.socks
import time:      1280 |      13194 |                       requests.adapters
import time:      1898 |      15092 |                     requests.sessions
import time:      1072 |      16163 |                   requests.api
import time:      2413 |     376230 |                 requests
import time:      2268 |       2268 |                     tqdm._monitor
import time:      1559 |       1559 |                     tqdm._tqdm_pandas
import time:      2357 |       2357 |                         numbers
import time:      1260 |       1260 |                                 colorama.ansi
import time:        78 |         78 |                                   msvcrt
import time:      2489 |       2489 |                                       sysconfig
import time:      6105 |       6105 |                                       _ctypes
import time:      1462 |       1462 |                                       ctypes._endian
import time:      5516 |      15571 |                                     ctypes
import time:      1116 |       1116 |                                       ctypes._layout
import time:      1916 |       3031 |                                     ctypes.wintypes
import time:      1159 |      19761 |                                   colorama.win32
import time:      1399 |      21237 |                                 colorama.winterm
import time:      1461 |      23957 |                               colorama.ansitowin32
import time:      1814 |      25771 |                             colorama.initialise
import time:      3089 |      28860 |                           colorama
import time:       547 |        547 |                           envwrap
import time:      1994 |      31400 |                         tqdm.utils
import time:      2571 |      36327 |                       tqdm.std
import time:      1384 |       1384 |                           importlib.metadata._text
import time:      1110 |       2494 |                         importlib.metadata._adapters
import time:     27620 |      30113 |                       tqdm.version
import time:      1681 |      68121 |                     tqdm.cli
import time:      2676 |       2676 |                     tqdm.gui
import time:      2454 |      77076 |                   tqdm
import time:       982 |        982 |                   tqdm.autonotebook
import time:      1386 |       1386 |                           signal
import time:       587 |        587 |                           fcntl
import time:      2068 |       4040 |                         subprocess
import time:      1582 |       1582 |                         asyncio.constants
import time:      1303 |       1303 |                         asyncio.coroutines
import time:       799 |        799 |                           contextvars
import time:      1469 |       1469 |                           asyncio.format_helpers
import time:      1343 |       1343 |                             asyncio.base_futures
import time:      1152 |       1152 |                             asyncio.exceptions
import time:      1532 |       1532 |                             asyncio.base_tasks
import time:      4815 |       8841 |                           _asyncio
import time:      2033 |      13140 |                         asyncio.events
import time:      1481 |       1481 |                         asyncio.futures
import time:      1055 |       1055 |                         asyncio.protocols
import time:      1497 |       1497 |                           asyncio.transports
import time:      1072 |       1072 |                           asyncio.log
import time:      1827 |       4395 |                         asyncio.sslproto
import time:      1269 |       1269 |                             asyncio.mixins
import time:      1591 |       2859 |                           asyncio.locks
import time:      1749 |       1749 |                             asyncio.queues
import time:      1638 |       1638 |                             asyncio.timeouts
import time:      1652 |       5037 |                           asyncio.tasks
import time:      1403 |       9299 |                         asyncio.staggered
import time:      1598 |       1598 |                         asyncio.trsock
import time:      3478 |      41367 |                       asyncio.base_events
import time:      2473 |       2473 |                       asyncio.graph
import time:      1188 |       1188 |                       asyncio.runners
import time:      1086 |       1086 |                       asyncio.streams
import time:      1046 |       1046 |                       asyncio.subprocess
import time:      1340 |       1340 |                       asyncio.taskgroups
import time:       712 |        712 |                       asyncio.threads
import time:      5127 |       5127 |                         _overlapped
import time:      1283 |       1283 |                         asyncio.base_subprocess
import time:      1430 |       1430 |                         asyncio.proactor_events
import time:      2578 |       2578 |                           selectors
import time:      2439 |       5016 |                         asyncio.selector_events
import time:      1160 |       1160 |                         asyncio.windows_utils
import time:      1749 |      15763 |                       asyncio.windows_events
import time:      2341 |      67314 |                     asyncio
import time:       736 |      68049 |                   tqdm.asyncio
import time:      1573 |     147679 |                 tqdm.auto
import time:      2121 |       2121 |                   tqdm.contrib
import time:      1640 |       3760 |                 tqdm.contrib.concurrent
import time:      1997 |       1997 |                 huggingface_hub.constants
import time:      2255 |       2255 |                   huggingface_hub.errors
import time:      4617 |       4617 |                       _uuid
import time:      1565 |       6181 |                     uuid
import time:      2449 |       2449 |                         huggingface_hub.utils.tqdm
import time:      3944 |       3944 |                           configparser
import time:      6360 |       6360 |                               _wmi
import time:      2307 |       8667 |                             platform
import time:    175539 |     184205 |                           huggingface_hub.utils._runtime
import time:      1377 |     189525 |                         huggingface_hub.utils._auth
import time:      1987 |       1987 |                         huggingface_hub.utils._cache_assets
import time:      1984 |       1984 |                                 gettext
import time:      2544 |       4527 |                               argparse
import time:      3013 |       7540 |                             huggingface_hub.commands
import time:      1961 |       9500 |                           huggingface_hub.commands._cli_utils
import time:      1827 |       1827 |                           huggingface_hub.utils.logging
